a,0.10801393728222997
s,0.09523809523809523
p,0.07723577235772358
c,0.06794425087108014
t,0.0627177700348432
m,0.059233449477351915
l,0.052845528455284556
d,0.05226480836236934
b,0.04994192799070848
h,0.04006968641114982
g,0.038908246225319396
e,0.03832752613240418
n,0.03426248548199768
k,0.029616724738675958
o,0.027874564459930314
r,0.02497096399535424
i,0.01916376306620209
y,0.018002322880371662
j,0.016260162601626018
z,0.016260162601626018
v,0.015098722415795587
f,0.014518002322880372
u,0.011614401858304297
w,0.011614401858304297
x,0.011614401858304297
q,0.006387921022067364
